Jahr;Tag;Monat;
1869;31;12
1880;31;12
1890;31;12
1900;31;12
1910;31;12
1923;7;3
1934;22;3
1939;17;5
1951;1;6
1961;21;3
1971;12;5
1981;12;5
1991;15;5
2001;15;5
2006;31;10
2011;31;10
